Chemical nodes,Reaction nodes,Enzy reaction nodes,Chem reaction nodes
330,317,268,49
390,441,364,77
399,401,321,80
300,293,240,53
329,350,273,77
422,419,342,77
610,681,645,36
249,238,153,85
579,785,785,0
440,481,380,101
349,361,283,78
480,541,495,46
427,434,348,86
365,369,342,27
339,339,262,77
337,348,276,72
409,421,310,111
471,497,412,85
323,330,236,94
407,420,326,94
269,287,190,97
434,455,408,47
409,471,455,16
46,20,0,20
325,335,289,46
112,116,114,2
532,601,596,5
261,286,217,69
478,508,428,80
1,0,0,0
251,225,147,78
355,365,274,91
180,196,147,49
427,413,324,89
257,242,218,24
464,467,368,99
308,338,305,33
385,390,307,83
320,331,259,72
485,539,478,61
379,390,356,34
330,324,228,96
235,250,187,63
431,447,363,84
438,460,371,89
400,422,353,69
296,314,210,104
445,492,467,25
233,224,194,30
338,367,284,83
410,409,351,58
210,239,211,28
501,554,548,6
322,315,195,120
327,349,298,51
380,377,295,82
342,356,327,29
344,359,340,19
438,473,376,97
463,493,424,69
605,668,616,52
301,274,135,139
463,470,325,145
376,395,295,100
373,408,298,110
338,350,314,36
319,352,236,116
493,500,426,74
338,362,280,82
447,469,400,69
715,797,790,7
229,219,90,129
3,1,0,1
444,524,441,83
388,412,372,40
375,391,361,30
382,442,370,72
299,308,225,83
543,614,571,43
393,409,382,27
446,464,361,103
475,500,442,58
500,548,503,45
393,411,347,64
288,297,257,40
443,466,325,141
398,416,330,86
518,614,595,19
271,306,291,15
344,368,329,39
369,387,324,63
426,441,327,114
500,664,589,75
413,414,356,58
429,423,298,125
297,372,363,9
348,372,354,18
231,218,144,74
406,508,283,225
328,325,252,73
235,223,120,103
1,0,0,0
504,567,463,104
437,470,373,97
253,261,60,201
335,362,324,38
277,267,194,73
503,610,548,62
381,382,309,73
246,249,195,54
276,281,218,63
391,419,342,77
458,449,371,78
432,496,445,51
439,471,435,36
277,284,275,9
261,233,155,78
324,322,227,95
374,375,291,84
487,579,502,77
274,284,240,44
511,584,551,33
400,407,298,109
672,793,742,51
560,620,573,47
131,148,148,0
185,202,184,18
206,214,174,40
404,418,395,23
313,290,203,87
214,230,208,22
343,389,285,104
351,399,296,103
227,224,195,29
332,428,425,3
498,636,549,87
349,359,289,70
362,380,299,81
401,406,304,102
404,473,399,74
434,461,407,54
403,425,351,74
324,312,221,91
247,231,75,156
330,337,272,65
443,486,409,77
324,330,230,100
427,432,370,62
379,422,347,75
295,296,253,43
250,210,75,135
264,275,178,97
398,451,382,69
481,516,404,112
381,411,289,122
528,618,512,106
520,567,531,36
311,329,294,35
458,456,373,83
415,437,360,77
525,561,496,65
465,492,444,48
265,282,236,46
449,555,455,100
458,455,321,134
204,210,209,1
333,345,288,57
458,512,401,111
443,452,399,53
184,171,120,51
407,443,330,113
380,410,389,21
285,290,206,84
451,535,471,64
396,417,376,41
363,401,240,161
522,579,524,55
463,497,464,33
420,432,356,76
510,542,461,81
380,385,367,18
287,309,257,52
284,306,268,38
280,312,279,33
380,443,440,3
211,210,162,48
410,397,327,70
437,475,388,87
773,979,978,1
463,505,371,134
375,416,318,98
455,493,395,98
337,350,321,29
385,414,362,52
243,233,161,72
407,447,426,21
342,362,261,101
288,279,222,57
155,189,189,0
528,554,431,123
274,276,231,45
226,258,203,55
250,313,313,0
317,393,321,72
500,535,415,120
434,447,394,53
241,270,242,28
361,400,339,61
477,495,432,63
5,1,0,1
401,419,327,92
252,261,202,59
302,282,177,105
318,295,152,143
350,368,365,3
357,336,135,201
494,532,483,49
426,452,301,151
459,494,465,29
242,218,155,63
263,276,244,32
624,655,568,87
706,739,670,69
390,418,356,62
426,434,386,48
325,369,245,124
307,352,233,119
542,581,531,50
349,360,275,85
421,417,321,96
229,232,207,25
472,550,536,14
505,541,485,56
467,497,419,78
388,424,315,109
462,464,385,79
450,534,509,25
439,488,367,121
503,546,457,89
486,553,435,118
358,422,401,21
268,264,180,84
452,462,416,46
458,578,563,15
477,531,507,24
446,498,458,40
353,361,280,81
312,321,249,72
165,147,120,27
293,316,298,18
263,335,307,28
4,1,0,1
305,346,281,65
677,777,751,26
444,482,463,19
1,0,0,0
569,588,576,12
383,410,324,86
267,252,135,117
298,329,228,101
345,334,288,46
431,428,357,71
335,398,315,83
491,534,417,117
429,489,391,98
540,545,504,41
342,361,232,129
381,380,294,86
456,523,413,110
347,409,398,11
483,493,383,110
296,292,253,39
392,414,361,53
255,311,311,0
346,377,336,41
485,620,593,27
443,469,338,131
394,439,381,58
299,308,282,26
463,507,473,34
329,398,255,143
408,409,281,128
411,422,360,62
288,280,241,39
348,370,351,19
1,0,0,0
285,325,135,190
219,223,173,50
289,344,211,133
313,328,273,55
419,471,413,58
248,233,145,88
449,464,348,116
527,587,500,87
259,279,259,20
447,513,389,124
461,486,345,141
261,259,223,36
594,674,530,144
285,294,228,66
269,272,240,32
243,292,247,45
335,357,288,69
395,429,392,37
406,430,327,103
373,367,306,61
434,436,269,167
171,158,120,38
279,282,237,45
497,583,501,82
577,623,584,39
343,340,280,60
277,264,135,129
212,203,144,59
343,446,310,136
263,256,229,27
512,513,459,54
366,433,404,29
215,231,216,15
327,326,220,106
460,498,412,86
355,381,270,111
285,267,135,132
1,0,0,0
86,66,43,23
382,394,315,79
281,308,304,4
344,343,258,85
346,350,305,45
350,385,294,91
445,485,438,47
413,389,242,147
256,285,188,97
208,215,174,41
338,359,272,87
352,366,283,83
431,465,436,29
450,462,340,122
471,535,449,86
244,275,261,14
464,495,383,112
199,212,149,63
490,500,400,100
355,397,339,58
434,481,370,111
369,416,398,18
292,318,229,89
448,499,466,33
374,425,417,8
322,312,248,64
139,117,0,117
361,373,321,52
414,589,589,0
432,457,319,138
399,505,417,88
453,482,402,80
405,376,239,137
309,307,268,39
386,411,387,24
404,399,325,74
386,374,324,50
331,338,283,55
172,163,134,29
414,434,348,86
410,446,407,39
378,394,280,114
524,559,493,66
370,403,304,99
503,529,394,135
453,489,382,107
165,156,105,51
377,376,240,136
339,383,276,107
254,259,244,15
402,471,382,89
309,337,302,35
368,329,238,91
445,485,428,57
431,479,413,66
330,363,323,40
285,290,189,101
553,641,640,1
384,374,317,57
405,477,270,207
322,349,225,124
455,515,413,102
320,352,342,10
454,428,291,137
248,253,233,20
520,562,446,116
337,371,272,99
337,369,362,7
375,402,352,50
363,390,335,55
407,451,380,71
426,451,391,60
399,408,322,86
300,287,105,182
536,589,540,49
155,184,179,5
189,176,134,42
455,489,386,103
518,609,565,44
568,646,589,57
498,582,563,19
386,413,357,56
447,473,413,60
357,374,291,83
352,322,210,112
525,534,442,92
374,409,293,116
388,364,255,109
471,460,293,167
496,557,519,38
446,465,435,30
185,196,168,28
293,270,220,50
609,880,858,22
441,492,473,19
491,506,467,39
354,375,337,38
453,473,401,72
488,496,427,69
351,407,358,49
475,493,346,147
455,440,383,57
291,316,264,52
489,523,499,24
690,712,636,76
442,519,454,65
358,407,330,77
542,638,634,4
406,447,427,20
466,475,430,45
259,311,235,76
342,358,259,99
456,453,342,111
254,246,162,84
279,246,135,111
344,349,261,88
473,479,385,94
461,557,545,12
344,348,265,83
398,412,372,40
206,249,249,0
391,410,313,97
300,312,230,82
425,464,437,27
563,572,454,118
478,508,396,112
295,311,180,131
147,147,105,42
350,397,289,108
608,654,589,65
577,687,687,0
358,398,210,188
386,402,340,62
305,285,184,101
406,428,365,63
477,540,449,91
397,414,341,73
420,476,445,31
227,204,146,58
383,380,297,83
316,401,392,9
454,483,395,88
231,274,241,33
331,375,374,1
329,350,307,43
210,210,177,33
203,209,180,29
392,390,368,22
422,441,411,30
291,303,228,75
429,409,325,84
254,268,244,24
461,481,454,27
423,451,396,55
522,637,564,73
491,487,425,62
354,344,205,139
484,525,485,40
313,315,147,168
202,190,138,52
251,235,115,120
321,335,302,33
289,305,259,46
418,437,308,129
196,227,224,3
288,316,291,25
468,529,492,37
434,521,478,43
213,219,218,1
94,120,120,0
133,172,172,0
193,199,174,25
350,370,337,33
345,336,182,154
172,211,198,13
301,336,277,59
357,428,406,22
233,224,147,77
420,432,331,101
313,340,337,3
1,0,0,0
265,301,253,48
231,220,135,85
217,206,176,30
180,169,149,20
236,305,305,0
2,1,1,0
250,315,315,0
296,347,285,62
197,188,164,24
290,298,228,70
288,281,198,83
219,202,144,58
303,293,150,143
334,426,426,0
397,463,397,66
444,467,321,146
325,315,283,32
391,447,427,20
1,0,0,0
479,503,399,104
396,451,431,20
376,389,302,87
470,495,418,77
366,352,212,140
368,503,401,102
349,363,316,47
534,668,664,4
413,429,399,30
221,227,135,92
337,480,459,21
435,551,452,99
237,258,240,18
474,545,353,192
352,355,249,106
226,225,143,82
450,459,317,142
331,382,294,88
417,471,438,33
165,183,162,21
459,523,432,91
474,501,394,107
282,260,120,140
343,339,192,147
482,535,498,37
307,317,240,77
247,246,191,55
356,352,260,92
413,455,321,134
416,434,425,9
431,465,396,69
394,409,324,85
435,456,406,50
158,117,25,92
350,356,336,20
361,393,382,11
333,360,307,53
317,338,291,47
415,459,411,48
348,351,221,130
510,545,501,44
464,505,360,145
353,364,335,29
422,452,363,89
396,477,445,32
367,444,330,114
391,417,272,145
379,386,323,63
212,208,130,78
345,378,317,61
426,498,496,2
448,464,414,50
948,1095,1088,7
330,366,259,107
240,281,281,0
541,603,498,105
239,277,277,0
428,442,323,119
173,143,81,62
425,448,385,63
265,310,303,7
334,335,215,120
447,473,457,16
190,193,173,20
260,264,202,62
315,339,313,26
373,381,336,45
401,463,446,17
429,495,422,73
170,191,191,0
265,264,203,61
486,519,496,23
214,198,30,168
357,375,294,81
489,527,495,32
316,371,333,38
438,450,337,113
394,429,319,110
328,359,325,34
376,400,280,120
411,413,306,107
469,498,446,52
279,319,280,39
188,196,177,19
323,317,233,84
423,424,349,75
381,388,225,163
345,406,300,106
370,408,398,10
414,418,344,74
352,363,312,51
351,338,269,69
376,441,367,74
122,112,90,22
395,438,411,27
339,345,240,105
327,339,281,58
1,0,0,0
480,519,441,78
277,264,90,174
418,469,396,73
207,213,208,5
387,374,295,79
471,476,372,104
369,368,268,100
438,463,367,96
409,458,376,82
283,289,266,23
503,548,415,133
426,455,382,73
275,294,256,38
251,283,263,20
535,569,501,68
431,425,313,112
387,404,332,72
381,397,327,70
81,56,15,41
209,208,169,39
448,502,459,43
227,226,186,40
301,330,276,54
488,623,620,3
471,497,414,83
348,414,315,99
396,424,344,80
223,216,162,54
176,156,120,36
329,321,266,55
424,449,415,34
432,433,259,174
333,325,253,72
456,478,400,78
401,419,364,55
344,343,242,101
189,148,90,58
301,320,292,28
270,252,133,119
326,336,330,6
319,325,205,120
334,387,378,9
326,327,254,73
322,372,367,5
214,199,176,23
516,544,485,59
341,339,233,106
419,431,398,33
339,360,279,81
356,411,376,35
334,347,303,44
456,465,399,66
328,360,359,1
573,648,592,56
526,520,422,98
329,345,295,50
426,442,362,80
446,448,356,92
309,299,231,68
233,233,132,101
398,431,305,126
220,221,162,59
415,450,367,83
530,617,610,7
307,319,298,21
256,291,203,88
214,260,259,1
427,478,383,95
1,0,0,0
453,452,415,37
490,537,360,177
438,462,400,62
420,423,387,36
310,325,264,61
482,512,429,83
162,150,105,45
316,378,374,4
218,197,131,66
283,334,316,18
395,421,252,169
339,396,310,86
400,468,357,111
517,617,567,50
360,382,334,48
349,356,331,25
327,328,180,148
163,174,174,0
312,342,277,65
487,482,425,57
504,553,506,47
361,408,399,9
183,233,233,0
184,160,100,60
308,323,115,208
341,332,283,49
524,618,589,29
221,208,114,94
439,501,465,36
336,344,284,60
402,448,407,41
332,368,343,25
244,285,285,0
524,625,606,19
379,371,227,144
268,272,245,27
416,415,330,85
285,289,165,124
452,493,420,73
219,252,192,60
240,216,149,67
564,599,547,52
261,228,105,123
432,488,368,120
203,200,174,26
296,326,222,104
319,325,307,18
598,719,719,0
419,443,255,188
396,419,368,51
452,499,471,28
300,292,230,62
520,543,408,135
392,404,314,90
238,241,173,68
438,481,399,82
322,346,261,85
145,122,75,47
348,393,265,128
441,484,467,17
443,465,465,0
419,422,383,39
392,411,320,91
402,429,324,105
326,366,366,0
365,385,342,43
212,220,199,21
181,192,176,16
412,446,415,31
71,57,30,27
339,308,187,121
219,216,162,54
368,434,426,8
381,387,360,27
401,437,315,122
222,221,174,47
369,446,353,93
382,380,266,114
365,427,348,79
360,383,313,70
278,265,195,70
453,458,304,154
410,466,374,92
382,408,309,99
463,466,390,76
277,274,228,46
312,324,250,74
529,569,443,126
345,398,307,91
513,639,592,47
453,483,405,78
454,486,443,43
242,211,105,106
467,470,420,50
478,505,398,107
249,246,148,98
124,135,133,2
469,537,499,38
381,394,300,94
456,477,374,103
473,458,397,61
437,433,336,97
281,282,156,126
321,384,369,15
549,570,570,0
553,747,742,5
368,359,195,164
293,301,288,13
347,393,307,86
287,286,252,34
310,291,216,75
319,323,278,45
534,560,554,6
180,192,189,3
390,443,432,11
307,286,180,106
587,668,605,63
358,364,336,28
266,239,150,89
359,369,281,88
448,478,442,36
318,345,233,112
439,464,408,56
220,211,135,76
458,503,428,75
468,562,446,116
265,274,178,96
426,460,439,21
388,387,338,49
73,71,71,0
436,463,413,50
377,436,349,87
379,393,309,84
422,475,428,47
385,398,321,77
460,476,398,78
616,697,644,53
135,136,130,6
442,454,383,71
543,590,529,61
449,526,396,130
1,0,0,0
445,476,395,81
280,300,294,6
389,394,234,160
452,517,445,72
34,23,0,23
281,300,250,50
551,565,446,119
406,408,361,47
314,312,268,44
486,526,490,36
461,524,499,25
235,233,185,48
566,613,571,42
391,415,369,46
396,412,307,105
397,427,298,129
1,0,0,0
339,411,389,22
289,259,120,139
407,477,448,29
344,420,400,20
244,258,205,53
421,469,360,109
356,412,409,3
710,789,767,22
623,698,625,73
286,272,194,78
368,349,223,126
431,477,378,99
450,468,399,69
278,297,257,40
299,286,195,91
352,369,266,103
374,413,323,90
347,410,308,102
500,538,450,88
138,116,90,26
418,467,396,71
5,1,0,1
330,375,324,51
336,355,292,63
286,295,165,130
299,272,135,137
280,273,173,100
432,447,345,102
402,453,363,90
369,397,334,63
421,448,424,24
151,132,118,14
375,405,305,100
302,306,180,126
455,490,381,109
346,398,394,4
267,238,155,83
319,300,210,90
370,418,328,90
397,417,365,52
276,254,120,134
354,427,310,117
235,251,189,62
315,411,330,81
279,299,247,52
460,492,384,108
442,458,379,79
257,256,163,93
288,286,225,61
421,423,395,28
436,466,425,41
151,165,163,2
248,243,177,66
429,446,411,35
328,337,310,27
412,478,427,51
304,310,246,64
290,343,323,20
523,543,390,153
348,344,220,124
346,399,333,66
290,285,212,73
367,372,312,60
470,572,515,57
471,533,438,95
335,406,388,18
464,541,442,99
326,349,298,51
403,415,340,75
415,434,394,40
521,620,616,4
562,605,422,183
563,592,479,113
303,320,240,80
383,401,285,116
343,371,244,127
281,273,248,25
408,432,372,60
437,497,431,66
192,186,129,57
415,410,307,103
212,254,228,26
269,297,258,39
287,300,249,51
298,282,150,132
373,392,350,42
444,481,475,6
344,344,310,34
392,430,334,96
367,534,427,107
324,389,279,110
343,402,288,114
480,498,386,112
437,481,402,79
385,416,346,70
248,244,150,94
433,447,284,163
403,418,335,83
361,342,197,145
175,180,180,0
589,648,604,44
406,431,347,84
449,514,456,58
221,218,185,33
373,394,386,8
314,356,324,32
290,297,266,31
354,351,222,129
193,172,112,60
378,406,311,95
406,395,245,150
579,617,559,58
361,377,334,43
337,308,187,121
316,325,277,48
481,506,426,80
401,477,458,19
461,447,384,63
525,543,384,159
194,260,260,0
467,486,389,97
347,351,294,57
284,323,258,65
300,314,294,20
337,361,247,114
375,395,301,94
326,341,275,66
303,322,284,38
545,613,498,115
410,431,333,98
1,0,0,0
482,509,417,92
417,452,423,29
308,294,210,84
462,481,332,149
202,202,157,45
248,271,270,1
425,465,396,69
329,324,265,59
186,213,190,23
472,488,385,103
319,393,392,1
232,217,165,52
517,550,404,146
256,251,169,82
460,462,311,151
411,425,315,110
341,450,370,80
387,387,270,117
451,467,437,30
401,402,276,126
