Chemical nodes,Reaction nodes,Enzy reaction nodes,Chem reaction nodes
290,282,239,43
490,539,468,71
417,437,380,57
269,264,210,54
439,462,378,84
396,426,377,49
375,434,414,20
263,217,88,129
219,240,232,8
445,491,395,96
454,498,433,65
454,501,489,12
434,449,341,108
606,671,657,14
364,381,316,65
330,353,303,50
370,362,224,138
403,425,337,88
268,270,175,95
381,402,340,62
388,402,328,74
352,363,270,93
406,436,405,31
328,382,363,19
376,417,393,24
103,101,98,3
315,333,298,35
133,118,73,45
288,295,220,75
203,190,166,24
325,320,262,58
489,532,445,87
182,169,120,49
507,507,415,92
458,534,430,104
452,448,340,108
429,507,472,35
340,350,265,85
448,475,389,86
459,537,453,84
424,416,285,131
401,397,313,84
332,347,271,76
474,499,346,153
358,367,268,99
496,553,476,77
336,330,180,150
409,453,424,29
414,413,344,69
303,329,271,58
447,460,370,90
344,351,296,55
301,307,294,13
339,325,165,160
377,413,362,51
263,247,105,142
404,420,357,63
455,486,460,26
398,393,278,115
514,561,468,93
474,541,487,54
343,352,195,157
538,527,400,127
447,467,356,111
338,346,233,113
554,542,479,63
422,493,360,133
422,447,374,73
455,502,465,37
566,598,537,61
543,593,581,12
338,346,224,122
386,375,238,137
485,565,441,124
315,325,280,45
278,302,279,23
325,360,284,76
268,278,218,60
410,449,411,38
352,357,328,29
423,439,317,122
450,445,324,121
515,560,517,43
361,384,339,45
232,254,216,38
427,445,340,105
425,441,356,85
526,595,534,61
379,436,414,22
423,461,431,30
391,426,379,47
441,504,368,136
466,542,450,92
477,505,447,58
427,416,270,146
330,401,393,8
286,286,270,16
243,238,158,80
411,495,279,216
462,483,416,67
446,487,391,96
45,45,45,0
485,547,441,106
438,482,415,67
363,375,221,154
485,533,431,102
346,350,201,149
400,461,398,63
416,422,348,74
196,200,147,53
292,326,278,48
394,431,363,68
519,522,399,123
437,486,431,55
541,582,533,49
284,293,277,16
249,255,195,60
342,348,210,138
363,360,292,68
487,536,449,87
351,377,282,95
564,661,630,31
332,324,225,99
595,643,589,54
404,396,347,49
119,133,133,0
257,270,247,23
305,302,221,81
508,541,518,23
329,349,180,169
376,370,307,63
330,352,225,127
321,327,225,102
351,412,389,23
226,266,262,4
454,550,463,87
540,570,479,91
266,237,165,72
441,475,342,133
400,492,300,192
289,301,275,26
322,343,288,55
367,343,194,149
345,346,222,124
286,314,224,90
560,615,533,82
315,342,278,64
439,481,395,86
395,428,323,105
374,371,315,56
344,326,217,109
224,209,117,92
368,387,312,75
510,557,465,92
413,426,319,107
573,653,529,124
431,442,394,48
491,553,496,57
445,430,341,89
508,544,459,85
512,559,487,72
483,512,474,38
301,323,280,43
336,381,338,43
400,427,282,145
299,314,314,0
362,371,320,51
529,595,516,79
570,591,552,39
339,328,237,91
413,452,340,112
430,468,437,31
331,336,194,142
440,463,404,59
375,398,369,29
355,405,239,166
568,673,611,62
338,387,359,28
395,396,342,54
461,498,411,87
460,489,465,24
481,498,428,70
442,453,401,52
273,320,296,24
298,328,325,3
322,331,282,49
522,531,463,68
447,477,392,85
434,509,499,10
507,582,446,136
366,389,264,125
608,690,594,96
379,400,368,32
439,470,397,73
444,480,345,135
471,492,463,29
469,509,357,152
272,252,170,82
187,196,191,5
563,642,548,94
360,392,362,30
373,399,340,59
229,269,269,0
298,336,260,76
442,463,352,111
321,316,262,54
253,288,262,26
479,518,443,75
592,679,588,91
451,451,390,61
376,406,322,84
355,358,270,88
332,308,195,113
364,364,238,126
400,427,424,3
419,421,223,198
450,491,458,33
437,464,297,167
533,587,572,15
382,361,229,132
477,511,442,69
630,659,574,85
333,385,379,6
462,493,431,62
514,565,507,58
368,396,233,163
377,403,313,90
486,563,514,49
294,323,251,72
472,481,398,83
363,394,316,78
489,541,521,20
509,537,480,57
578,609,518,91
469,519,442,77
496,518,427,91
377,402,362,40
456,484,373,111
556,593,506,87
485,527,390,137
375,422,382,40
297,313,240,73
412,441,388,53
439,502,401,101
320,339,300,39
409,476,386,90
446,475,388,87
359,380,307,73
432,495,470,25
247,254,239,15
345,363,328,35
449,452,417,35
371,400,311,89
555,589,527,62
521,577,555,22
455,509,468,41
327,321,270,51
511,545,459,86
318,320,165,155
449,493,408,85
325,329,240,89
503,542,480,62
326,355,275,80
378,408,311,97
371,371,311,60
547,546,489,57
389,376,222,154
459,459,328,131
490,534,427,107
613,671,623,48
511,520,384,136
464,462,405,57
514,538,457,81
172,196,195,1
469,507,392,115
393,432,404,28
429,452,330,122
440,506,443,63
276,280,252,28
409,463,425,38
344,396,270,126
372,395,319,76
462,458,374,84
398,412,390,22
388,444,430,14
289,274,234,40
287,331,105,226
435,478,285,193
273,314,175,139
401,420,359,61
412,453,396,57
357,354,194,160
364,404,222,182
440,498,415,83
254,291,259,32
450,504,391,113
551,578,405,173
268,259,223,36
560,612,459,153
412,408,312,96
437,469,448,21
426,447,385,62
357,416,360,56
425,455,399,56
409,443,330,113
485,500,450,50
567,607,486,121
224,226,179,47
261,261,223,38
450,512,442,70
603,634,586,48
434,436,387,49
431,477,390,87
303,285,211,74
366,417,283,134
408,428,395,33
503,554,468,86
297,366,338,28
434,471,439,32
354,369,245,124
562,650,570,80
350,389,255,134
312,307,180,127
276,308,293,15
112,93,73,20
319,327,260,67
324,345,342,3
410,429,376,53
354,355,305,50
446,474,390,84
407,451,427,24
387,401,224,177
316,356,249,107
260,246,162,84
266,303,231,72
513,573,508,65
524,578,529,49
452,460,314,146
