Chemical nodes,Reaction nodes,Enzy reaction nodes,Chem reaction nodes
285,262,223,39
390,441,364,77
411,413,336,77
246,240,194,46
245,241,188,53
360,341,280,61
252,294,240,54
259,249,191,58
109,121,115,6
440,481,380,101
392,406,328,78
132,149,136,13
397,403,318,85
350,363,342,21
339,339,262,77
327,343,276,67
414,440,340,100
486,512,427,85
340,350,266,84
424,441,341,100
310,380,286,94
132,125,115,10
274,316,292,24
273,290,233,57
313,321,274,47
127,129,128,1
192,190,150,40
294,333,270,63
453,473,384,89
203,205,183,22
305,342,245,97
365,380,289,91
201,226,177,49
431,418,324,94
214,199,174,25
262,280,234,46
308,338,305,33
367,372,292,80
313,320,246,74
163,166,163,3
211,203,160,43
467,465,325,140
256,262,202,60
356,361,305,56
282,365,282,83
328,355,278,77
307,333,236,97
231,255,227,28
218,209,179,30
348,447,381,66
318,317,247,70
224,254,226,28
213,211,189,22
315,298,207,91
303,320,264,56
352,447,308,139
337,354,327,27
243,251,235,16
438,473,376,97
240,245,188,57
333,367,316,51
324,309,208,101
501,530,416,114
340,392,273,119
397,440,339,101
240,238,209,29
330,362,252,110
378,382,321,61
352,385,307,78
473,499,430,69
264,277,266,11
382,423,321,102
471,529,451,78
403,480,396,84
251,266,220,46
235,258,227,31
263,299,220,79
367,402,365,37
234,234,185,49
172,173,157,16
407,447,337,110
326,326,277,49
330,353,307,46
339,358,302,56
287,288,248,40
356,358,264,94
374,387,302,85
100,100,88,12
251,289,276,13
234,248,209,39
303,320,264,56
374,407,349,58
137,127,104,23
286,276,222,54
401,396,282,114
207,252,243,9
111,108,105,3
294,294,227,67
453,544,371,173
356,348,284,64
384,425,321,104
91,105,105,0
484,524,394,130
318,357,258,99
346,393,273,120
222,239,205,34
321,306,235,71
266,301,233,68
384,378,311,67
242,277,221,56
325,347,251,96
391,419,342,77
416,416,340,76
351,406,340,66
338,350,300,50
241,251,245,6
264,269,203,66
271,290,213,77
337,359,290,69
141,129,105,24
271,283,239,44
400,428,378,50
309,300,218,82
283,302,262,40
246,277,243,34
95,103,103,0
187,203,184,19
222,239,203,36
342,339,320,19
257,232,180,52
195,189,163,26
319,347,262,85
384,373,310,63
192,198,165,33
116,147,143,4
252,288,237,51
345,357,289,68
209,200,165,35
423,422,335,87
395,489,395,94
314,301,242,59
369,405,351,54
296,292,210,82
353,376,302,74
288,285,227,58
464,507,438,69
340,380,284,96
289,280,234,46
337,369,317,52
294,297,253,44
375,414,304,110
291,314,237,77
341,383,322,61
450,479,367,112
415,447,332,115
431,491,407,84
295,328,267,61
311,329,294,35
458,456,373,83
415,437,360,77
318,343,261,82
295,309,264,45
306,342,277,65
300,341,275,66
345,389,287,102
151,151,150,1
457,477,385,92
368,382,295,87
412,418,369,49
324,308,262,46
378,433,321,112
208,217,194,23
320,334,276,58
165,171,147,24
340,357,301,56
346,385,278,107
393,384,319,65
314,326,291,35
252,246,206,40
491,522,447,75
165,175,163,12
269,262,215,47
264,272,213,59
281,313,279,34
164,188,186,2
249,254,206,48
410,397,327,70
404,442,358,84
210,240,230,10
463,505,371,134
365,411,318,93
365,383,305,78
328,348,321,27
355,402,318,84
287,257,193,64
176,185,172,13
328,345,247,98
224,211,164,47
118,124,105,19
538,569,446,123
255,246,204,42
242,271,219,52
114,120,120,0
346,421,350,71
418,438,343,95
267,265,220,45
225,244,215,29
263,286,249,37
289,293,243,50
234,237,223,14
367,390,287,103
248,264,217,47
290,287,210,77
310,341,237,104
335,353,350,3
316,303,219,84
317,336,263,73
461,511,366,145
391,419,391,28
322,297,232,65
263,276,244,32
343,332,276,56
190,202,190,12
368,393,326,67
323,327,296,31
347,393,276,117
337,412,290,122
264,285,261,24
405,435,354,81
421,417,321,96
229,232,207,25
315,352,326,26
276,302,261,41
454,478,404,74
395,447,336,111
446,447,370,77
184,208,181,27
452,500,384,116
427,458,383,75
362,432,334,98
358,422,401,21
263,283,234,49
244,249,211,38
229,260,233,27
189,203,167,36
271,249,205,44
291,304,235,69
343,357,292,65
180,162,135,27
300,329,313,16
171,163,134,29
112,107,103,4
480,530,409,121
275,276,214,62
158,176,174,2
58,105,105,0
205,217,203,14
398,425,339,86
203,176,119,57
294,331,243,88
399,425,346,79
418,413,342,71
337,405,322,83
531,594,477,117
333,352,320,32
377,363,324,39
355,412,304,108
337,347,292,55
402,446,353,93
141,169,169,0
514,527,425,102
322,322,283,39
404,429,376,53
116,138,135,3
258,285,246,39
177,189,164,25
321,338,271,67
309,343,280,63
289,301,278,23
347,385,319,66
405,537,380,157
417,440,332,108
386,389,330,59
263,250,213,37
231,249,232,17
262,282,273,9
139,140,113,27
216,217,161,56
394,464,333,131
271,273,216,57
349,388,338,50
298,287,219,68
363,424,309,115
502,570,474,96
204,219,185,34
277,300,219,81
356,440,310,130
273,274,238,36
563,620,484,136
298,309,246,63
219,217,182,35
219,217,172,45
287,286,239,47
254,282,257,25
335,397,311,86
355,353,291,62
478,538,377,161
244,270,236,34
290,297,252,45
253,306,249,57
271,267,239,28
308,303,250,53
368,359,235,124
220,214,152,62
351,457,325,132
197,191,173,18
380,383,315,68
246,303,291,12
215,231,216,15
431,455,362,93
451,488,411,77
197,220,174,46
440,471,323,148
219,253,241,12
150,137,117,20
